               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.037443,             0.02099,            0.010769,             0.16262,             0.33333,              0.2024,            0.085187,            0.039794,            0.010164,            0.027028,            0.001316,            0.001316,            0.001316
                  90,            0.036169,            0.028829,            0.014308,             0.15674,             0.41667,             0.22147,            0.087281,            0.040398,           0.0099746,            0.026586,            0.001266,            0.001266,            0.001266
                  91,            0.036323,            0.014471,            0.010027,             0.17061,             0.40283,             0.21892,             0.10095,            0.039273,             0.01012,            0.026558,           0.0012202,           0.0012202,           0.0012202
                  92,            0.036599,            0.019934,            0.010161,             0.14086,                 0.5,             0.21703,            0.098083,            0.039265,            0.010094,             0.02634,           0.0011787,           0.0011787,           0.0011787
                  93,             0.03652,            0.017531,           0.0097074,             0.16125,             0.39583,             0.22554,            0.097755,            0.037582,             0.01021,            0.026583,           0.0011414,           0.0011414,           0.0011414
                  94,            0.034196,             0.01992,           0.0086909,             0.19705,             0.39583,             0.23025,            0.091576,            0.038268,            0.010354,            0.025762,           0.0011084,           0.0011084,           0.0011084
                  95,            0.038061,            0.021093,            0.010747,              0.2286,             0.39583,             0.25128,             0.10578,            0.039265,            0.010192,            0.025255,           0.0010797,           0.0010797,           0.0010797
                  96,             0.03724,             0.02775,           0.0093229,             0.18774,             0.39265,             0.22899,             0.09234,            0.040094,           0.0099625,             0.02646,           0.0010554,           0.0010554,           0.0010554
                  97,            0.036005,            0.019498,           0.0091861,             0.16094,             0.37496,             0.22414,            0.087365,            0.041348,           0.0099731,            0.027353,           0.0010355,           0.0010355,           0.0010355
                  98,            0.034593,             0.02051,           0.0090538,             0.13282,             0.39352,             0.20918,            0.094119,            0.039545,                0.01,            0.028105,             0.00102,             0.00102,             0.00102
                  99,            0.034437,            0.020146,           0.0089557,              0.1122,             0.67074,             0.20598,            0.088508,            0.039195,             0.01017,            0.028036,           0.0010089,           0.0010089,           0.0010089
